id,reason
abc185_f,seg_tree
abc194_e,seg_tree
abc125_c,seg_tree
abl_d,seg_tree
abc157_e,seg_tree
abc231_f,seg_tree
arc033_3,seg_tree
abc223_f,seg_tree
nikkei2019_2_qual_d,seg_tree
code_festival_qualB_d,seg_tree
donuts_2015_3,seg_tree
abc038_d,seg_tree
abc165_f,seg_tree
arc026_3,seg_tree
jsc2021_f,seg_tree
arc035_d,seg_tree
arc017_4,seg_tree
arc080_c,seg_tree
abc136_f,seg_tree
mujin_pc_2016_d,seg_tree
arc008_4,seg_tree
arc027_4,seg_tree
arc038_c,seg_tree
arc067_d,seg_tree
arc076_d,seg_tree
arc025_4,seg_tree
arc073_d,seg_tree
arc049_d,seg_tree
arc054_d,seg_tree
arc057_b,no_english
arc057_d,no_english
abc041_a,no_english
abc041_b,no_english
abc041_c,no_english
abc041_d,no_english
arc056_a,no_english
arc056_b,no_english
arc056_c,no_english
arc056_d,no_english
abc040_a,no_english
abc040_c,no_english
abc040_d,no_english
abc039_a,no_english
abc039_b,no_english
abc039_c,no_english
abc039_d,no_english
arc055_a,no_english
arc055_b,no_english
abc038_a,no_english
abc038_b,no_english
abc038_c,no_english
abc038_d,no_english
arc054_a,no_english
arc054_b,no_english
arc054_c,no_english
arc054_d,no_english
arc053_a,no_english
arc053_b,no_english
arc053_c,no_english
abc037_a,no_english
abc037_b,no_english
abc037_c,no_english
abc037_d,no_english
arc052_a,no_english
arc052_b,no_english
arc052_c,no_english
arc051_a,no_english
arc051_b,no_english
arc051_c,no_english
arc051_d,no_english
abc036_a,no_english
abc036_b,no_english
abc036_c,no_english
abc036_d,no_english
arc050_a,no_english
arc050_b,no_english
abc035_a,no_english
abc035_b,no_english
abc035_c,no_english
abc035_d,no_english
arc049_b,no_english
arc049_c,no_english
arc049_d,no_english
abc034_a,no_english
abc034_b,no_english
abc034_c,no_english
abc034_d,no_english
arc048_a,no_english
arc048_c,no_english
discovery_2016_final_c,no_english
abc033_a,no_english
abc033_b,no_english
abc033_c,no_english
abc033_d,no_english
discovery_2016_qual_b,no_english
discovery_2016_qual_c,no_english
dwango2016qual_a,no_english
dwango2016qual_b,no_english
dwango2016qual_c,no_english
dwango2016qual_d,no_english
dwango2016qual_e,no_english
arc047_a,no_english
arc047_b,no_english
abc032_a,no_english
abc032_b,no_english
abc032_c,no_english
abc032_d,no_english
arc046_a,no_english
arc046_b,no_english
arc046_c,no_english
arc046_d,no_english
abc031_a,no_english
abc031_b,no_english
abc031_c,no_english
abc031_d,no_english
cf_2015_morning_hard_a,no_english
cf_2015_morning_easy_c,no_english
cf_2015_morning_hard_b,no_english
cf_2015_morning_easy_d,no_english
cf_2015_morning_easy_b,no_english
cf_2015_morning_hard_c,no_english
cf_2015_morning_hard_h,no_english
abc030_a,no_english
abc030_b,no_english
abc030_c,no_english
abc030_d,no_english
arc045_a,no_english
arc045_b,no_english
arc045_c,no_english
arc045_d,no_english
codefestival_2015_qualA_b,no_english
codefestival_2015_qualA_d,no_english
abc029_a,no_english
abc029_b,no_english
arc044_a,no_english
arc044_b,no_english
arc044_c,no_english
abc028_a,no_english
abc028_b,no_english
abc028_d,no_english
